File Name,PSNR (dB),SSIM
object_1_2x,23.53,0.8602
object_1_4x,23.37,0.8276
object_1_8x,23.49,0.8237
object_2_2x,19.83,0.7597
object_2_4x,19.65,0.697
object_2_8x,19.78,0.6787
object_3_2x,24.51,0.8464
object_3_4x,24.37,0.8167
object_3_8x,24.44,0.818
object_14_2x,25.79,0.8611
object_14_4x,25.81,0.8358
object_14_8x,25.9,0.8413
object_29_2x,23.9,0.8708
object_29_4x,13.36,0.4544
object_29_8x,23.83,0.8424
object_30_2x,25.04,0.8857
object_30_4x,25.03,0.8508
object_30_8x,25.11,0.8384
object_33_2x,25.59,0.8713
object_33_4x,25.59,0.8504
object_33_8x,25.67,0.846
